MovieTitle,ScriptLink,ProductionBudget,DomesticGross,WorldwideGross
valkyrie,valkyrie.html," $90,000,000"," $83,107,829"," $83,107,829"
hollow man,hollow-man.html," $90,000,000"," $73,209,340"," $73,209,340"
the saint,the-saint.html," $90,000,000"," $61,363,304"," $61,363,304"
mission to mars,mission-to-mars.html," $90,000,000"," $60,874,615"," $60,874,615"
king arthur,king-arthur.html," $90,000,000"," $51,877,963"," $51,877,963"
conan the barbarian,conan-the-barbarian.html," $90,000,000"," $21,295,021"," $21,295,021"
the three musketeers,the-three-musketeers.html," $90,000,000"," $20,377,913"," $20,377,913"
army of the dead,army-of-the-dead.html," $90,000,000", $0, $0
the predator,the-predator.html," $88,000,000"," $51,024,708"," $51,024,708"
fantastic four,fantastic-four.html," $87,500,000"," $154,696,080"," $154,696,080"
hannibal,hannibal.html," $87,000,000"," $165,092,266"," $165,092,266"
cast away,cast-away.html," $85,000,000"," $233,632,142"," $233,632,142"
happy feet,happy-feet.html," $85,000,000"," $198,000,317"," $198,000,317"
ocean's eleven,ocean's-eleven.html," $85,000,000"," $183,417,150"," $183,417,150"
the bourne supremacy,the-bourne-supremacy.html," $85,000,000"," $176,087,450"," $176,087,450"
air force one,air-force-one.html," $85,000,000"," $172,956,409"," $172,956,409"
itâs complicated,itâs-complicated.html," $85,000,000"," $112,735,375"," $112,735,375"
enemy of the state,enemy-of-the-state.html," $85,000,000"," $111,549,836"," $111,549,836"
tower heist,tower-heist.html," $85,000,000"," $78,046,570"," $78,046,570"
arthur christmas,arthur-christmas.html," $85,000,000"," $46,462,469"," $46,462,469"
meet joe black,meet-joe-black.html," $85,000,000"," $44,650,003"," $44,650,003"
collateral damage,collateral-damage.html," $85,000,000"," $40,048,332"," $40,048,332"
judge dredd,judge-dredd.html," $85,000,000"," $34,687,912"," $34,687,912"
scott pilgrim vs. the world,scott-pilgrim-vs.-the-world.html," $85,000,000"," $31,611,316"," $31,611,316"
hellboy ii: the golden army,hellboy-ii:-the-golden-army.html," $82,500,000"," $75,986,503"," $75,986,503"
bruce almighty,bruce-almighty.html," $81,000,000"," $242,704,995"," $242,704,995"
